Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,cpi_score
Egypt,4.166,0.913,0.0,0.644,0.241,0.076,0.067,0.0,Africa,2017,32
El Salvador,6.253,0.794,0.0,0.789,0.43,0.093,0.074,0.0,South America,2017,33
Estonia,5.893,1.237,0.0,0.874,0.495,0.103,0.161,0.0,Europe,2017,71
Ethiopia,4.286,0.336,0.0,0.532,0.344,0.209,0.1,0.0,Africa,2017,35
Finland,7.769,1.34,0.0,0.986,0.596,0.153,0.393,0.0,Europe,2017,85
France,6.592,1.324,0.0,1.045,0.436,0.111,0.183,0.0,Europe,2017,70
Gabon,4.799,1.057,0.0,0.571,0.295,0.043,0.055,0.0,Africa,2017,32
Georgia,4.519,0.886,0.0,0.752,0.346,0.043,0.164,0.0,Asia,2017,56
Germany,6.985,1.373,0.0,0.987,0.495,0.261,0.265,0.0,Europe,2017,81
Ghana,4.996,0.611,0.0,0.486,0.381,0.245,0.04,0.0,Africa,2017,40
Greece,5.287,1.181,0.0,0.999,0.067,0.0,0.034,0.0,Europe,2017,48
Guatemala,6.436,0.8,0.0,0.746,0.535,0.175,0.078,0.0,South America,2017,28
Guinea,4.534,0.38,0.0,0.375,0.332,0.207,0.086,0.0,South America,2017,27
Haiti,3.597,0.323,0.0,0.449,0.026,0.419,0.11,0.0,South America,2017,22
Honduras,5.86,0.642,0.0,0.828,0.507,0.246,0.078,0.0,South America,2017,29
Hungary,5.758,1.201,0.0,0.828,0.199,0.081,0.02,0.0,Europe,2017,45
Iceland,7.494,1.38,0.0,1.026,0.591,0.354,0.118,0.0,Europe,2017,77
India,4.015,0.755,0.0,0.588,0.498,0.2,0.085,0.0,Asia,2017,40
Indonesia,5.192,0.931,0.0,0.66,0.491,0.498,0.028,0.0,Asia,2017,37
Iran,4.548,1.1,0.0,0.785,0.305,0.27,0.125,0.0,Asia,2017,30
Iraq,4.437,1.043,0.0,0.574,0.241,0.148,0.089,0.0,Asia,2017,18
Ireland,7.021,1.499,0.0,0.999,0.516,0.298,0.31,0.0,Europe,2017,74
Israel,7.139,1.276,0.0,1.029,0.371,0.261,0.082,0.0,Asia,2017,62
Italy,6.223,1.294,0.0,1.039,0.231,0.158,0.03,0.0,Europe,2017,50
Jamaica,5.89,0.831,0.0,0.831,0.49,0.107,0.028,0.0,South America,2017,44
Japan,5.886,1.327,0.0,1.088,0.445,0.069,0.14,0.0,Asia,2017,73
Jordan,4.906,0.837,0.0,0.815,0.383,0.11,0.13,0.0,Asia,2017,48
Kazakhstan,5.809,1.173,0.0,0.729,0.41,0.146,0.096,0.0,Asia,2017,31
Kenya,4.509,0.512,0.0,0.581,0.431,0.372,0.053,0.0,Africa,2017,28
Kosovo,6.1,0.882,0.0,0.758,0.489,0.262,0.006,0.0,Europe,2017,39
Kuwait,6.021,1.5,0.0,0.808,0.493,0.142,0.097,0.0,Asia,2017,39
Kyrgyzstan,5.261,0.551,0.0,0.723,0.508,0.3,0.023,0.0,Asia,2017,29
Latvia,5.94,1.187,0.0,0.812,0.264,0.075,0.064,0.0,Europe,2017,58
Lebanon,5.197,0.987,0.0,0.815,0.216,0.166,0.027,0.0,Asia,2017,28
Liberia,3.975,0.073,0.0,0.443,0.37,0.233,0.033,0.0,Africa,2017,31
Libya,5.525,1.044,0.0,0.673,0.416,0.133,0.152,0.0,Africa,2017,17
Lithuania,6.149,1.238,0.0,0.818,0.291,0.043,0.042,0.0,Europe,2017,59
Luxembourg,7.09,1.609,0.0,1.012,0.526,0.194,0.316,0.0,Europe,2017,82
Madagascar,3.933,0.274,0.0,0.555,0.148,0.169,0.041,0.0,Africa,2017,24
Malawi,3.41,0.191,0.0,0.495,0.443,0.218,0.089,0.0,Africa,2017,31
Malaysia,5.339,1.221,0.0,0.828,0.508,0.26,0.024,0.0,Asia,2017,47
Mali,4.39,0.385,0.0,0.308,0.327,0.153,0.052,0.0,Africa,2017,31
Malta,6.726,1.3,0.0,0.999,0.564,0.375,0.151,0.0,Europe,2017,56
Mauritania,4.49,0.57,0.0,0.489,0.066,0.106,0.088,0.0,Africa,2017,28
Mauritius,5.888,1.12,0.0,0.798,0.498,0.215,0.06,0.0,Africa,2017,50
Mexico,6.595,1.07,0.0,0.861,0.433,0.074,0.073,0.0,North America,2017,29
Moldova,5.529,0.685,0.0,0.739,0.245,0.181,0.0,0.0,Europe,2017,31
Mongolia,5.285,0.948,0.0,0.667,0.317,0.235,0.038,0.0,Asia,2017,36
Montenegro,5.523,1.051,0.0,0.871,0.197,0.142,0.08,0.0,Europe,2017,46
Morocco,5.208,0.801,0.0,0.782,0.418,0.036,0.076,0.0,Africa,2017,40
Myanmar,4.36,0.71,0.0,0.555,0.525,0.566,0.172,0.0,Asia,2017,30
Nepal,4.913,0.446,0.0,0.677,0.439,0.285,0.089,0.0,Asia,2017,31
Netherlands,7.488,1.396,0.0,0.999,0.557,0.322,0.298,0.0,Europe,2017,82
New Zealand,7.307,1.303,0.0,1.026,0.585,0.33,0.38,0.0,Australia,2017,89
Nicaragua,6.105,0.694,0.0,0.835,0.435,0.2,0.127,0.0,South America,2017,26
Niger,4.628,0.138,0.0,0.366,0.318,0.188,0.102,0.0,Africa,2017,33
Nigeria,5.265,0.696,0.0,0.245,0.426,0.215,0.041,0.0,Africa,2017,27
Norway,7.554,1.488,0.0,1.028,0.603,0.271,0.341,0.0,Europe,2017,85
Pakistan,5.653,0.677,0.0,0.535,0.313,0.22,0.098,0.0,Asia,2017,32
Panama,6.321,1.149,0.0,0.91,0.516,0.109,0.054,0.0,South America,2017,37
Paraguay,5.743,0.855,0.0,0.777,0.514,0.184,0.08,0.0,South America,2017,29
Peru,5.697,0.96,0.0,0.854,0.455,0.083,0.027,0.0,South America,2017,37
Philippines,5.631,0.807,0.0,0.657,0.558,0.117,0.107,0.0,Asia,2017,34
Poland,6.182,1.206,0.0,0.884,0.483,0.117,0.05,0.0,Europe,2017,60
Portugal,5.693,1.221,0.0,0.999,0.508,0.047,0.025,0.0,Europe,2017,63
Romania,6.07,1.162,0.0,0.825,0.462,0.083,0.005,0.0,Europe,2017,48
Russia,5.648,1.183,0.0,0.726,0.334,0.082,0.031,0.0,Europe,2017,29
Rwanda,3.334,0.359,0.0,0.614,0.555,0.217,0.411,0.0,Africa,2017,55
Saudi Arabia,6.375,1.403,0.0,0.795,0.439,0.08,0.132,0.0,Asia,2017,49
Senegal,4.681,0.45,0.0,0.571,0.292,0.153,0.072,0.0,Africa,2017,45
Serbia,5.603,1.004,0.0,0.854,0.282,0.137,0.039,0.0,Europe,2017,41
Sierra Leone,4.374,0.268,0.0,0.242,0.309,0.252,0.045,0.0,Africa,2017,30
Singapore,6.262,1.572,0.0,1.141,0.556,0.271,0.453,0.0,Asia,2017,84
Slovakia,6.198,1.246,0.0,0.881,0.334,0.121,0.014,0.0,Europe,2017,50
Slovenia,6.118,1.258,0.0,0.953,0.564,0.144,0.057,0.0,Europe,2017,61
South Africa,4.722,0.96,0.0,0.469,0.389,0.13,0.055,0.0,Africa,2017,43
Spain,6.354,1.286,0.0,1.062,0.362,0.153,0.079,0.0,Europe,2017,57
Sri Lanka,4.366,0.949,0.0,0.831,0.47,0.244,0.047,0.0,Asia,2017,38
Sweden,7.343,1.387,0.0,1.009,0.574,0.267,0.373,0.0,Europe,2017,84
Switzerland,7.48,1.452,0.0,1.052,0.572,0.263,0.343,0.0,Europe,2017,85
Tajikistan,5.467,0.493,0.0,0.718,0.389,0.23,0.144,0.0,Asia,2017,21
Tanzania,3.231,0.476,0.0,0.499,0.417,0.276,0.147,0.0,Africa,2017,36
Thailand,6.008,1.05,0.0,0.828,0.557,0.359,0.028,0.0,Asia,2017,37
Togo,4.085,0.275,0.0,0.41,0.293,0.177,0.085,0.0,Africa,2017,32
Tunisia,4.461,0.921,0.0,0.815,0.167,0.059,0.055,0.0,Africa,2017,42
Turkey,5.373,1.183,0.0,0.808,0.195,0.083,0.106,0.0,Asia,2017,40
Turkmenistan,5.247,1.052,0.0,0.657,0.394,0.244,0.028,0.0,Asia,2017,19
Uganda,4.189,0.332,0.0,0.443,0.356,0.252,0.06,0.0,Africa,2017,26
Ukraine,4.332,0.82,0.0,0.739,0.178,0.187,0.01,0.0,Europe,2017,30
United Arab Emirates,6.825,1.503,0.0,0.825,0.598,0.262,0.182,0.0,Asia,2017,71
United Kingdom,7.054,1.333,0.0,0.996,0.45,0.348,0.278,0.0,Europe,2017,82
United States,6.892,1.433,0.0,0.874,0.454,0.28,0.128,0.0,North America,2017,75
Uruguay,6.293,1.124,0.0,0.891,0.523,0.127,0.15,0.0,South America,2017,70
Uzbekistan,6.174,0.745,0.0,0.756,0.631,0.322,0.24,0.0,Asia,2017,22
Venezuela,4.707,0.96,0.0,0.805,0.154,0.064,0.047,0.0,South America,2017,18
Vietnam,5.175,0.741,0.0,0.851,0.543,0.147,0.073,0.0,Asia,2017,35
Yemen,3.38,0.287,0.0,0.463,0.143,0.108,0.077,0.0,Asia,2017,16
Zambia,4.107,0.578,0.0,0.426,0.431,0.247,0.087,0.0,Africa,2017,37
Zimbabwe,3.663,0.366,0.0,0.433,0.361,0.151,0.089,0.0,Africa,2017,22
